essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
G235575,Non-Essential,?,Assembly complexes,?,11,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,0,1,0,0.772309609
G235516,Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,10,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,4,1,3,0,0.6541170305
G234787,Non-Essential,Major facilitator superfamily proteins (MFS),?,?,13,False,False,False,False,True,True,False,False,True,False,False,False,True,plasma membrane,1,1,0,0,0.387523287
G234926,Essential,Transcription factors,?,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.301378981
G234122,Essential,ATPases,Intracellular transport complexes,Cell morphology and organelle mutants,2,False,False,False,False,True,True,False,False,False,False,False,False,False,cytoplasm,1,1,0,0,0.953369334
G235535,Non-Essential,?,Translation complexes,?,10,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.782150754
G234191,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,"Auxotrophies carbon and",4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.49086402225
G238472,Non-Essential,?,?,Nucleic acid metabolism defects,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,None
G235826,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,15,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,1,0,1,0,0.304665304
G237982,Non-Essential,?,?,?,2,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.836717107
G235728,Essential,?,Intracellular transport complexes,?,13,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,8,0,8,0,0.443977970125
G235652,Non-Essential,?,Nuclear pore complex (NPC),?,12,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,4,0,4,0,0.82073596325
G235490,Non-Essential,?,RNA processing complexes,Conditional phenotypes,9,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,11,0,11,0,0.40262419327272725
G234863,Essential,Polymerases,Transcription complexes/Transcriptosome,?,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.582180275
G235699,Essential,?,RNA processing complexes,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.4051572375
G235005,Non-Essential,GTP-binding proteins,Translation complexes,?,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G235772,Essential,?,Anaphase promoting complex (APC),Cell morphology and organelle mutants,14,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,3,0,3,0,0.22513872666666668
G237732,Non-Essential,?,?,?,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.477325142
G239476,Non-Essential,?,?,Unknown,14,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,0,0,0,0,None
G234296,Non-Essential,GTP-binding proteins,Translation complexes,?,4,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.972494716
G237467,Non-Essential,?,?,?,12,False,False,False,False,False,True,False,False,False,False,False,False,False,mitochondria,2,0,2,0,0.9049721694999999
G234895,?,ATPases,RNA processing complexes,?,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.590526274
G234908,Non-Essential,Protein Kinases,?,?,15,False,False,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.035688833
G235434,Non-Essential,?,Proteasome,?,7,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G234946,Non-Essential,ATPases,Proteasome,?,15,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G237936,Non-Essential,?,?,Sensitivity to aminoacid analogs and other drugs,15,False,True,False,False,True,False,False,False,False,False,False,False,False,plasma membrane,2,2,0,0,0.4774592315
G234858,Non-Essential,GTP-binding proteins,?,Cell morphology and organelle mutants,14,True,False,False,True,True,False,False,False,True,False,False,False,False,golgi,0,0,0,0,None
G235689,Essential,?,Transcription complexes/Transcriptosome,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.010223965
G237335,Non-Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,True,False,False,False,plasma membrane,0,0,0,0,None
G240494,Non-Essential,?,?,?,4,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234681,Non-Essential,Transcription factors,?,?,11,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,3,0,3,0,0.17730265766666667
G234455,Non-Essential,Protein Kinases,Cytoskeleton,Cell morphology and organelle mutants,7,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,0,0,0,0,None
G235532,Essential,?,Replication complexes,Nucleic acid metabolism defects,10,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,1,2,0,0.8178718296666666
G239976,Non-Essential,?,?,Cell morphology and organelle mutants,10,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,1,2,0,0.6350403736666667
G234065,Non-Essential,Molecular chaperones,?,?,1,False,True,False,False,True,True,False,False,False,True,False,False,False,cytoplasm,6,2,4,0,0.7370588754999999
G236869,Essential,?,?,?,11,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,1,0,0,1,None
G235271,Essential,?,?,Cell cycle defects,4,True,False,True,False,True,False,False,False,False,False,False,False,False,cytoskeleton,4,0,1,3,0.24416707049999997
G237391,Non-Essential,?,?,?,7,False,False,True,False,True,True,False,False,False,True,False,False,False,cytoplasm,3,0,3,0,0.604040513
G238990,?,?,?,?,15,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,1,0,0,0.256256121
G236206,Non-Essential,?,?,Conditional phenotypes,15,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,1,0,1,0,None
G235327,Non-Essential,?,Nuclear pore complex (NPC),?,5,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,3,2,1,0,0.40071987866666664
G234064,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,1,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,0,2,0.8328399795
G235926,Non-Essential,?,Translation complexes,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G236147,Non-Essential,?,?,?,10,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,2,0,2,0,0.46557600600000004
G235475,Essential,?,RNA processing complexes,Cell cycle defects,8,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.022759398
G237843,Non-Essential,?,?,Cell cycle defects,12,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,4,4,0,0,0.38261439725
G235581,Non-Essential,?,Translation complexes,?,11,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G234890,?,Transcription factors,?,?,14,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,None
G234542,Non-Essential,GTPase activating proteins (GAPs),?,Conditional phenotypes,9,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.258710106
G236351,?,?,?,?,5,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.6358976665
G235388,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.864190393
G235692,Non-Essential,?,Nuclear pore complex (NPC),?,13,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,3,2,1,0,0.6148956186666666
G235359,Essential,?,Translation complexes,?,7,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G235499,Essential,?,Intracellular transport complexes,?,9,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,1,0,1,0,0.525196729
G235681,Non-Essential,?,Translocon,?,13,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,0,0,0,0,None
G237561,Essential,?,?,?,3,False,False,False,False,True,False,False,False,False,False,False,True,False,mitochondria,1,1,0,0,0.718860651
G235500,Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,9,False,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,4,1,3,0,0.66936860475
G235403,Non-Essential,?,Nonsense-mediated mRNA decay pathway complex,Sensitivity to antibiotics,7,False,False,False,False,True,False,False,False,True,False,True,False,False,cytoplasm,1,0,1,0,0.111792809
G238637,Essential,?,?,?,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,9,0,9,0,0.4933025894444445
G235510,Essential,?,Proteasome,Conditional phenotypes,10,True,True,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G240043,Non-Essential,?,?,Stress response defects,10,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,3,3,0,0,0.742876545
G235222,Essential,?,Mitochondrial translocase complex,?,4,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,2,1,0,1,0.25624604549999996
G235293,Essential,?,Intracellular transport complexes,?,4,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,8,0,8,0,0.5011319945
G235776,Non-Essential,?,Transcription complexes/Transcriptosome,?,14,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.92055883
G234529,Non-Essential,Transcription factors,?,Stress response defects,8,True,True,False,True,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.538658973
G240271,Non-Essential,?,?,Nucleic acid metabolism defects,4,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G234967,Non-Essential,GTP-binding proteins,?,Mating and sporulation defects,15,True,False,False,True,True,False,False,False,False,False,False,False,False,plasma membrane,3,0,3,0,0.49002425800000005
G235597,Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,11,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,15,8,4,3,0.5667795241333333
G237598,Non-Essential,?,?,?,7,False,False,False,False,True,False,False,False,True,False,False,False,False,ER,3,2,0,1,0.3117977203333333
G236096,Essential,?,?,?,16,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235867,Essential,?,Proteasome,?,15,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G235184,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,3,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,3,0,3,0,0.41765627999999994
G235566,Non-Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,11,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.798955624
G235025,Essential,Protein Kinases,?,Nucleic acid metabolism defects,16,True,True,False,True,True,False,False,False,False,False,False,False,False,nucleus,3,2,1,0,0.31186563266666667
G234312,Non-Essential,Transcription factors,RNA processing complexes,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235250,Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,4,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,10,0,9,1,0.4373730268
G235371,Essential,?,Transcription complexes/Transcriptosome,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,10,0,10,0,0.44886398219999996
G234918,Non-Essential,GTPase activating proteins (GAPs),?,Stress response defects,15,False,False,False,False,True,False,False,False,True,False,False,False,False,plasma membrane,1,0,1,0,0.515443375
G235683,Essential,?,Replication complexes,?,13,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.276794328
G234217,Essential,Polymerases,?,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.894058449
G235310,Essential,?,Proteasome,?,5,True,True,False,False,True,False,False,False,False,True,False,False,False,nucleus,0,0,0,0,None
G234448,Non-Essential,Protein Kinases,?,?,7,True,False,False,True,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.781916771
G235690,Non-Essential,?,"Alpha alpha-trehalose-phosphate synthase",?,13,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,3,0,3,0,0.47941961000000005
G240012,Non-Essential,?,?,Conditional phenotypes,16,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,0,0,0,0,None
G235834,?,?,Intracellular transport complexes,?,15,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,8,0,7,1,0.38981010450000003
G235486,Non-Essential,?,Cytoskeleton,Cell morphology and organelle mutants,9,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,2,2,0,0,0.099787848
G236745,Essential,?,?,?,15,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.2619706155
G234975,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,15,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.595014436
G234553,Essential,Molecular chaperones,Chaperonine containing T-complex TRiC (TCP RING Complex),Conditional phenotypes,9,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,4,3,0,1,0.7941746617500001
G234101,Non-Essential,ATPases,Respiration chain complexes,"Auxotrophies carbon and",2,False,False,False,False,True,True,True,True,False,False,False,False,True,mitochondria,1,0,1,0,None
G236578,Non-Essential,?,?,Mating and sporulation defects,4,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,1,0,1,0,0.641252753
G238117,Essential,?,?,Conditional phenotypes,12,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.032440557
G234167,Non-Essential,GTP-binding proteins,Cytoskeleton,Cell morphology and organelle mutants,3,True,False,False,False,True,False,False,False,True,False,False,False,False,cytoskeleton,5,2,3,0,0.5259597428
G240032,Essential,?,?,Cell morphology and organelle mutants,4,False,False,False,False,True,True,False,False,False,False,False,False,False,peroxisome,1,0,1,0,0.212337482
G235513,Essential,?,Transcription complexes/Transcriptosome,?,10,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G240292,Non-Essential,?,?,?,10,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G235294,Essential,?,RNA processing complexes,?,4,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,2,1,0,1,0.7006965845
G237824,Non-Essential,?,?,Cell morphology and organelle mutants,14,False,False,False,False,True,True,False,False,False,True,False,False,False,endosome,0,0,0,0,None
G234509,Non-Essential,Peptidyl-Prolyl-Isomerases,?,Conditional phenotypes,8,False,True,False,False,True,False,False,False,False,True,False,False,False,ER,0,0,0,0,None
G235542,Non-Essential,?,Nuclear pore complex (NPC),Conditional phenotypes,10,True,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.6742429565
G235006,Non-Essential,GTP-binding proteins,?,?,16,False,False,False,False,False,True,False,False,False,True,False,False,False,cytoplasm,0,0,0,0,None
G235042,Non-Essential,ATPases,?,Conditional phenotypes,16,True,True,False,False,True,False,True,False,False,False,False,False,False,cytoplasm,5,2,3,0,0.6966873992
G235809,Essential,?,?,Cell cycle defects,15,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G235843,?,?,Translation complexes,?,15,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,0,2,0,0.46830172400000003
G234640,Non-Essential,Molecular chaperones,?,Conditional phenotypes,11,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,1,1,0,0,0.041167317
G235741,Non-Essential,?,"Alpha alpha-trehalose-phosphate synthase",?,13,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,3,0,3,0,0.511168873
G235615,Non-Essential,?,Translation complexes,"Auxotrophies carbon and",12,False,False,False,False,True,False,False,False,False,False,True,True,False,mitochondria,1,0,1,0,0.146451675
G234323,Non-Essential,Transcription factors,?,?,5,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.381871879
G234865,Non-Essential,Peptidyl-Prolyl-Isomerases,?,Conditional phenotypes,14,False,False,False,False,True,False,False,False,False,True,False,False,False,cytoplasm,0,0,0,0,None
G240337,Non-Essential,?,?,Mating and sporulation defects,10,False,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.508882033
G240504,Non-Essential,?,?,Sensitivity to aminoacid analogs and other drugs,12,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.798424307
G234964,Non-Essential,Protein phosphatases,?,Conditional phenotypes,15,True,True,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,2,2,0,0,0.1880924615
G235357,Non-Essential,?,Translation complexes,?,7,False,False,False,False,True,False,False,False,False,False,True,False,False,mitochondria,1,1,0,0,0.891039915
G235281,Essential,?,Intracellular transport complexes,?,4,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,8,0,8,0,0.475928336
G234497,Non-Essential,Motorproteins,Cytoskeleton,Cell cycle defects,8,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,2,1,1,0,0.526632749
G235905,Essential,?,?,Cell morphology and organelle mutants,16,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G239628,Essential,?,?,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.4581021623333334
G235563,Essential,?,Transcription complexes/Transcriptosome,Stress response defects,11,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.582758041
G237969,Essential,?,?,?,3,False,False,False,False,True,False,False,False,False,True,False,False,False,ER,0,0,0,0,None
G234131,Non-Essential,GTPase activating proteins (GAPs),?,?,2,False,False,False,True,True,False,False,False,False,False,False,False,False,plasma membrane,0,0,0,0,None
G235027,Non-Essential,Motorproteins,Cytoskeleton,Cell morphology and organelle mutants,16,True,False,False,False,True,True,False,False,False,False,False,False,False,cytoskeleton,1,1,0,0,0.034695065
G235335,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,5,False,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.868633444
G234772,Non-Essential,Protein phosphatases,Calcineurin B,Mating and sporulation defects,13,True,False,False,False,True,False,False,False,False,False,False,True,False,cytoplasm,2,1,1,0,0.585302322
G237865,Non-Essential,?,?,Stress response defects,2,False,False,True,False,True,False,False,False,False,True,False,False,False,vacuole,2,0,2,0,0.333667348
G235621,Essential,?,RNA processing complexes,?,12,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,0,4,0,0.25836060424999996
G237884,Non-Essential,?,?,?,12,False,True,False,False,True,False,False,False,False,False,False,False,False,mitochondria,1,0,1,0,None
G234513,Non-Essential,Protein Kinases,?,?,8,False,True,False,True,True,False,False,False,True,False,False,False,False,ER,3,1,2,0,0.14133592733333333
G237469,Essential,?,?,Cell morphology and organelle mutants,7,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,2,0,2,0,0.587366098
G235677,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,13,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,6,3,2,1,0.7571216130000001
G235859,Non-Essential,?,Arginine-specific carbamoylphosphate synthase,?,15,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.00360252
G238448,Non-Essential,?,?,?,12,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G234882,Essential,Other kinases,?,?,14,True,False,False,True,True,False,False,False,True,False,False,False,False,nucleus,0,0,0,0,None
G235592,Essential,?,?,?,11,False,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G236479,Essential,?,?,?,3,False,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.439715308
G235672,Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,13,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,0,0,0,0,None
G235872,?,?,Intracellular transport complexes,?,16,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,1,1,0,0,0.616339766
G236965,?,?,?,?,4,False,False,False,False,True,False,False,False,True,False,False,False,False,endosome,1,0,1,0,0.795952223
G235349,Non-Essential,?,Anaphase promoting complex (APC),Conditional phenotypes,6,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,3,0,3,0,0.2106747986666667
G235138,Non-Essential,?,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,2,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,2,0,2,0,0.5671730665
G235136,Essential,?,?,Cell morphology and organelle mutants,2,True,False,False,True,True,True,False,False,False,False,False,False,False,cytoskeleton,7,0,5,2,0.22758021771428574
G234876,Non-Essential,Molecular chaperones,?,Conditional phenotypes,14,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,1,0,0,0.531135785
G237743,Essential,?,?,Nucleic acid metabolism defects,14,True,False,True,False,True,False,False,False,True,False,True,True,False,nucleus,2,1,1,0,0.390814879
G235272,Essential,?,Transcription complexes/Transcriptosome,?,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235043,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,16,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,1,0,1,0,0.34563442
G239010,Essential,?,?,Conditional phenotypes,4,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,6,3,0,3,0.4832255831666667
G235231,Non-Essential,?,Transcription complexes/Transcriptosome,?,4,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,2,0,2,0,0.34599806450000004
G238149,Non-Essential,?,?,?,11,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.276794328
G235889,Essential,?,Translation complexes,?,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,0,0,0,0,None
G234943,Non-Essential,GTP-binding proteins,?,?,15,True,True,False,True,True,False,False,False,True,False,False,False,False,plasma membrane,1,0,1,0,0.809396517
G235171,Non-Essential,?,Acetolactate synthase,?,3,False,False,False,False,True,False,False,False,True,False,False,False,False,mitochondria,1,0,1,0,0.177790731
G237577,Non-Essential,?,?,?,2,False,False,False,False,True,False,True,False,True,False,False,False,False,ER,1,1,0,0,0.593118632
G234344,Non-Essential,GTP-binding proteins,?,Cell morphology and organelle mutants,5,False,False,False,False,True,True,False,False,False,False,False,False,False,golgi,2,0,2,0,0.3138178355
G235134,Essential,?,Replication complexes,Nucleic acid metabolism defects,2,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,1,1,0,0,0.80184583
G236683,Non-Essential,?,?,?,11,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.182125492
G236825,Essential,?,?,?,11,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.894058449
G239008,Essential,?,?,Cell cycle defects,7,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,2,1,1,0,0.4110508275
G234666,Non-Essential,Protein phosphatases,Calcineurin B,Cell morphology and organelle mutants,11,True,False,False,False,True,False,False,True,False,False,False,True,False,cytoplasm,1,1,0,0,0.800575117
G237575,Non-Essential,?,?,?,14,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,1,0,1,0,0.353129812
G235550,Essential,?,RNA processing complexes,Conditional phenotypes,10,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,7,0,7,0,0.5517017832857143
G237663,Non-Essential,?,?,?,15,False,False,False,False,False,False,False,False,True,False,False,False,False,mitochondria,0,0,0,0,None
G234107,Non-Essential,Histones,Nucleosomal protein complex,Cell morphology and organelle mutants,2,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,0.413879002
G235874,Non-Essential,?,Transcription complexes/Transcriptosome,?,16,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,8,5,3,0,0.539000396
G239223,?,?,?,?,15,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,0.080975715
G234733,Non-Essential,Peptidyl-Prolyl-Isomerases,?,?,12,False,False,False,False,True,False,False,False,False,True,False,True,False,cytoplasm,1,0,1,0,0.881171581
G234505,Non-Essential,Polymerases,Transcription complexes/Transcriptosome,Cell morphology and organelle mutants,8,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,3,1,0,0.38043791424999995
G237345,Essential,?,?,?,8,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,0,2,0,None
G238715,Non-Essential,?,?,Conditional phenotypes,4,True,False,False,False,True,True,False,False,False,False,False,False,False,nucleus,2,2,0,0,0.459526443
G238307,Non-Essential,?,?,?,9,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235436,Non-Essential,?,Phosphofructokinase,?,7,False,False,False,False,True,False,True,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G239467,Essential,?,?,?,11,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,7,2,5,0,0.44030008985714286
G237617,Essential,?,?,Conditional phenotypes,5,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,1,0,1,0,None
G234429,Non-Essential,ATPases,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,7,True,True,False,False,True,False,False,False,False,False,False,False,False,nucleus,0,0,0,0,None
G235163,Essential,?,RNA processing complexes,?,2,False,False,False,False,True,False,False,False,False,True,False,True,False,nucleus,5,4,1,0,0.40194684560000005
G235765,Non-Essential,?,Mitochondrial translocase complex,?,14,False,False,False,False,True,True,False,False,False,True,False,False,True,mitochondria,1,0,1,0,0.720582088
G235127,Non-Essential,?,Translation complexes,Conditional phenotypes,2,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,2,2,0,0,0.9410031919999999
G235876,Non-Essential,?,Translation complexes,"Auxotrophies carbon and",16,False,False,False,False,True,False,False,False,True,False,True,True,False,mitochondria,0,0,0,0,None
G238391,Essential,?,?,?,13,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,2,2,0,0,0.762737731
G235654,Essential,?,Translation complexes,?,12,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.908702754
G235123,Essential,?,Anaphase promoting complex (APC),Nucleic acid metabolism defects,2,True,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,3,0,3,0,0.257471283
G235636,Non-Essential,?,Replication complexes,Nucleic acid metabolism defects,12,True,False,True,False,True,False,False,False,False,False,False,False,False,nucleus,1,0,1,0,0.448142193
G235065,Non-Essential,GTP-binding proteins,Translation complexes,?,16,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,0,1,0.751584888
G235324,Essential,?,Proteasome,?,5,False,False,False,False,True,False,False,False,False,True,False,False,False,nucleus,2,1,1,0,0.284743891
G234880,Non-Essential,Polymerases,Transcription complexes/Transcriptosome,?,14,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.664875661
G235838,Non-Essential,?,Succinyl-CoA ligase,?,15,False,False,False,False,False,False,True,False,True,False,False,False,False,mitochondria,0,0,0,0,None
